LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221948	2337422			529	Mean radiation percent of full sunlight	PPFD percentage of the above canopy light	sun	%	Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221948	2337431			322	Temperature during measurement	Tleaf(C)	27.9141104294479	C	Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221948	2337432			321	Light during measurement	Light (µmol m-2 s-1	1194.44444444444	micromol/m2/s	Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221948	2337434			323	Atmospheric CO2 concentration during measurement (Ca)	Ambient CO2 (ppm)	350	ppm	Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221948	6891664			113	Reference / source	Reference-corresponding word file	(Abrams and Mostoller 1995) Tree Physiology, 15, 361-370											Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.		33	
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221949	2337446			413	Plant developmental status / plant age / maturity / plant life stage	Seedlings (True/False)	F		Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.		unknown	
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221949	2337447			112	Location Site ID	Geography	40°49'N 77°56'W											Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.	Ulo Niinemets: true geography of collection		
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221949	2337448			59	Latitude	Latitude	40.82	dec	Single				40.82					Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221949	2337449			60	Longitude	Longitude	-77.93	dec	Single				-77.93					Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221949	2337450			80	Mean sum of annual precipitation (PPT / MAP / TAP)	Annual precipitation (mm)	979	mm/year	Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.	Ulo Niinemets: actual climate reported		
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221949	2337451			529	Mean radiation percent of full sunlight	PPFD percentage of the above canopy light	shade	%	Single									Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.			
Niinemets	Ülo	87	Global Leaf Robustness and Physiology Database	Acer rubrum	859	Acer rubrum	221949	6891665			113	Reference / source	Reference-corresponding word file	(Abrams and Mostoller 1995) Tree Physiology, 15, 361-370											Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.		33	
Chapin III	F Stuart	73	Tundra Plant Traits Database	Picea mariana	41927	Picea mariana	925363	5288948			911	Wetness/Humidity/Aridity of area where samples were taken	wetland	4											unpub.	1-5 (qualitative ranking from dry heath (=1) to standing water (=5))		
He	Tianhua	238	Fire Related Traits in Proteaceae and Pinaceae	Picea mariana	41927	Picea mariana	1673536	11581790			2516	Grass stage	Grass stage	No											He, T., Pausas, J.P., Belcher, C.M., Schwilk, D. W. & Lamont, B. B. (2012) Fire-adapted traits of Pinus arose in the fiery Cretaceous. New Phytologist 194, 751—759. doi: 10.1111/j.1469-8137.2012.04079.x.			
He	Tianhua	238	Fire Related Traits in Proteaceae and Pinaceae	Abies balsamea	32	Abies balsamea	1673571	11582000			2516	Grass stage	Grass stage	No											He, T., Pausas, J.P., Belcher, C.M., Schwilk, D. W. & Lamont, B. B. (2012) Fire-adapted traits of Pinus arose in the fiery Cretaceous. New Phytologist 194, 751—759. doi: 10.1111/j.1469-8137.2012.04079.x.			
