Year,Month,Tmax,Tmin,SumOfPrecipitations
2001,10,22.024865722656273,-6.720068359374977,84.55211639404297
2001,11,12.245355224609398,-18.352026367187477,79.78997039794922
2001,12,3.8345886230468977,-30.136572265624977,72.47966766357422
2002,1,0.7095275878906477,-35.6862854003906,72.38179779052734
2002,2,2.5207763671875227,-36.0006164550781,58.6599235534668
2002,3,9.568933105468773,-28.928060913085915,59.27682876586914
2002,4,19.929803466796898,-15.294104003906227,65.97928619384766
2002,5,28.909722900390648,-5.671789550781227,72.37030792236328
2002,6,30.153344726562523,0.5416809082031477,81.58290100097656
2002,7,30.586694335937523,4.013116455078148,73.04043579101562
2002,8,29.568933105468773,3.6301208496093977,79.52301025390625
2002,9,27.290734863281273,-3.2074645996093523,86.29544830322266
2002,10,21.986718750000023,-6.988623046874977,79.15296173095703
2002,11,11.377099609375023,-19.690252685546852,92.3188705444336
2002,12,3.3310485839843977,-31.20928039550779,86.27764129638672
2003,1,1.3458496093750227,-35.43450012207029,69.88436126708984
2003,2,4.390008544921898,-36.18829956054685,58.13859176635742
2003,3,10.571435546875023,-30.768286132812477,52.74212646484375
2003,4,21.036065673828148,-17.738623046874977,57.626251220703125
2003,5,27.589837646484398,-5.717565917968727,71.81970977783203
2003,6,28.570977783203148,0.42113647460939774,85.71810150146484
2003,7,30.577539062500023,4.429681396484398,65.41858673095703
2003,8,29.494165039062523,3.4607482910156477,78.4676284790039
2003,9,26.448449707031273,-2.0889648437499773,95.3478012084961
2003,10,22.127099609375023,-6.736853027343727,81.97842407226562
2003,11,10.261682128906273,-19.790960693359352,84.70970153808594
2003,12,4.368646240234398,-29.556723022460915,72.06385040283203
2004,1,0.9872680664062727,-35.7076477050781,67.50141143798828
2004,2,3.9169860839843977,-34.93552246093748,45.43293380737305
2004,3,10.160974121093773,-28.261236572265602,70.0000991821289
2004,4,22.377343750000023,-12.863378906249977,63.90786361694336
2004,5,28.369561767578148,-5.912878417968727,67.88036346435547
2004,6,30.127404785156273,0.07323608398439774,86.02963256835938
2004,7,29.980920410156273,4.408319091796898,79.89299774169922
2004,8,29.040948486328148,3.2761169433593977,73.09002685546875
2004,9,26.337060546875023,-2.1088012695312273,82.33694458007812
2004,10,22.084375000000023,-6.707861328124977,80.06974029541016
2004,11,12.222467041015648,-16.726934814453102,80.35199737548828
2004,12,4.563958740234398,-32.17059936523435,84.43892669677734
2005,1,1.7853027343750227,-36.02960815429685,73.1993637084961
2005,2,5.313195800781273,-35.46959533691404,56.16127395629883
2005,3,12.050042724609398,-29.517065429687477,58.0891227722168
2005,4,20.390618896484398,-13.867407226562477,50.114990234375
2005,5,27.754632568359398,-4.655523681640602,72.80900573730469
2005,6,30.827783203125023,0.6195007324218977,69.91861724853516
2005,7,30.693505859375023,4.409844970703148,69.9250717163086
2005,8,29.050103759765648,3.7369323730468977,78.01483917236328
2005,9,26.582727050781273,-1.5838989257812273,88.84493255615234
2005,10,21.280236816406273,-6.495764160156227,84.96917724609375
2005,11,11.923394775390648,-17.706579589843727,90.097412109375
2005,12,3.0945068359375227,-30.675207519531227,76.3223876953125
2006,1,1.7669921875000227,-36.5682434082031,71.28691864013672
2006,2,3.6972595214843977,-35.55199279785154,49.611328125
2006,3,10.000756835937523,-30.527197265624977,64.90104675292969
2006,4,21.332116699218773,-15.036230468749977,59.62007522583008
2006,5,26.282128906250023,-5.297949218749977,69.34012603759766
2006,6,30.223535156250023,0.45012817382814774,81.89569091796875
2006,7,30.022119140625023,5.055322265625023,85.10397338867188
2006,8,29.062341308593773,3.5568786621093977,75.6726303100586
2006,9,27.287683105468773,-2.0080932617187273,96.55072021484375
2006,10,20.923181152343773,-5.627539062499977,84.76070404052734
2006,11,13.536279296875023,-19.47203674316404,91.5597152709961
2006,12,2.6336914062500227,-31.15587463378904,87.05326080322266
2007,1,-0.23956909179685226,-34.54947509765623,67.1796646118164
2007,2,5.543603515625023,-32.8038391113281,51.16008377075195
2007,3,9.695581054687523,-30.868994140624977,69.1061019897461
2007,4,18.986779785156273,-15.155249023437477,54.5718994140625
2007,5,26.366052246093773,-5.740454101562477,70.8812484741211
2007,6,30.092309570312523,0.6729064941406477,91.65763092041016
2007,7,31.279443359375023,4.824884033203148,74.23825073242188
2007,8,28.578607177734398,4.170281982421898,77.90936279296875
2007,9,27.518121337890648,-1.8494018554687273,103.73136138916016
2007,10,21.971459960937523,-6.674291992187477,90.8858642578125
2007,11,11.967645263671898,-16.206610107421852,82.29879760742188
2007,12,5.421533203125023,-30.299841308593727,80.5402603149414
2008,1,0.5691467285156477,-35.7229064941406,74.19499969482422
2008,2,3.3996826171875227,-33.504232788085915,59.7115364074707
2008,3,9.884790039062523,-30.075537109374977,63.887542724609375
2008,4,20.505059814453148,-15.320043945312477,59.9722900390625
2008,5,28.067437744140648,-5.174353027343727,81.4049301147461
2008,6,30.150292968750023,1.1551147460937727,94.86334228515625
2008,7,31.171105957031273,4.858453369140648,74.15057373046875
2008,8,28.497735595703148,3.3829284667968977,76.08208465576172
2008,9,25.593957519531273,-1.7959960937499773,101.6675796508789
2008,10,19.188195800781273,-6.550695800781227,75.44625854492188
2008,11,12.962518310546898,-16.533148193359352,91.06510162353516
2008,12,3.5202575683593977,-29.678808593749977,70.82657623291016
2009,1,1.5548950195312727,-35.32616271972654,74.60830688476562
2009,2,3.1021667480468977,-33.86740722656248,53.52276611328125
2009,3,12.826715087890648,-29.602499389648415,60.814144134521484
2009,4,18.809777832031273,-16.578924560546852,64.4203109741211
2009,5,28.496209716796898,-5.737402343749977,67.60059356689453
2009,6,29.553674316406273,0.8193908691406477,95.7381820678711
2009,7,31.450341796875023,5.519189453125023,78.9215087890625
2009,8,28.911248779296898,3.8681579589843977,75.97014617919922
2009,9,25.915917968750023,-1.8127807617187273,73.79447174072266
2009,10,21.876855468750023,-6.208898925781227,85.8033218383789
2009,11,12.240777587890648,-18.86321105957029,89.20096588134766
2009,12,3.5339904785156477,-30.246435546874977,76.82721710205078
2010,1,1.8905883789062727,-34.50522460937498,76.00828552246094
2010,2,4.415948486328148,-35.50775756835935,61.97877883911133
2010,3,10.022119140625023,-30.247961425781227,65.390625
2010,4,19.354516601562523,-13.881140136718727,75.41825103759766
2010,5,26.959619140625023,-4.913397216796852,71.84639739990234
2010,6,28.894464111328148,1.3717895507812727,85.6850357055664
2010,7,30.548547363281273,4.196221923828148,78.76895141601562
2010,8,29.182855224609398,3.1448913574218977,79.11479949951172
2010,9,26.260766601562523,-2.0340332031249773,93.8740463256836
2010,10,21.721215820312523,-6.575109863281227,83.01984405517578
2010,11,11.717401123046898,-16.549932861328102,80.481689453125
2010,12,3.1509948730468977,-30.534826660156227,72.14522552490234
2011,1,1.4099365234375227,-35.27428283691404,72.60553741455078
2011,2,1.6525512695312727,-34.67001953124998,54.470035552978516
2011,3,10.365441894531273,-29.562841796874977,71.25769805908203
2011,4,19.319451904296898,-13.463049316406227,57.18754196166992
2011,5,27.959100341796898,-5.552770996093727,69.51434326171875
2011,6,30.102990722656273,0.42113647460939774,92.09381866455078
2011,7,30.618737792968773,4.596002197265648,79.02452850341797
2011,8,29.596398925781273,3.2761169433593977,83.09107208251953
2011,9,26.834497070312523,-2.1545776367187273,92.30618286132812
2011,10,19.052392578125023,-6.617834472656227,77.28241729736328
2011,11,13.270776367187523,-18.443579101562477,101.26831817626953
2011,12,3.4226013183593977,-30.946813964843727,77.4655532836914
2012,1,0.03814086914064774,-36.7391418457031,69.74828338623047
2012,2,2.2491699218750227,-34.91110839843748,60.45925521850586
2012,3,11.152795410156273,-29.803930664062477,67.24200439453125
2012,4,21.501489257812523,-12.634466552734352,53.56096267700195
2012,5,28.044549560546898,-4.432745361328102,68.9395751953125
2012,6,30.319665527343773,0.7690368652343977,91.43387603759766
2012,7,30.803369140625023,4.789788818359398,78.49300384521484
2012,8,28.366510009765648,3.0212646484375227,85.06453704833984
2012,9,26.788720703125023,-2.4704345703124773,85.6405258178711
2012,10,20.683618164062523,-6.660559082031227,87.7920913696289
2012,11,13.687341308593773,-16.815435791015602,88.06161499023438
2012,12,2.6870971679687727,-30.521093749999977,76.52840423583984
2013,1,0.9186035156250227,-34.71121826171873,84.10701751708984
2013,2,5.458154296875023,-36.3576721191406,59.66447067260742
2013,3,10.460046386718773,-26.839086914062477,63.96262741088867
2013,4,18.916589355468773,-16.533148193359352,46.66389846801758
2013,5,28.726617431640648,-5.047705078124977,87.94721221923828
2013,6,29.485009765625023,0.7720886230468977,76.96959686279297
2013,7,29.771875000000023,4.260308837890648,76.02359008789062
2013,8,28.583184814453148,3.9581848144531477,74.09588623046875
2013,9,26.157006835937523,-2.3392089843749773,85.56805419921875
2013,10,22.586389160156273,-5.998327636718727,78.69388580322266
2013,11,12.849603271484398,-20.775152587890602,92.55667114257812
2013,12,2.6840454101562727,-31.24437561035154,88.58812713623047
2014,1,1.4053588867187727,-35.55046691894529,66.69393920898438
2014,2,4.388482666015648,-34.39688720703123,53.977935791015625
2014,3,10.695031738281273,-30.104528808593727,65.82930755615234
2014,4,18.454248046875023,-15.214758300781227,61.910247802734375
2014,5,29.372094726562523,-4.609747314453102,72.66532135009766
2014,6,30.785058593750023,0.18920288085939774,82.30517578125
2014,7,31.238244628906273,5.288781738281273,75.05339813232422
2014,8,29.417871093750023,3.9398742675781477,74.4048843383789
2014,9,26.004418945312523,-2.4185546874999773,77.97035217285156
2014,10,21.940942382812523,-6.535437011718727,80.11809539794922
2014,11,12.874017333984398,-18.99291076660154,81.0539321899414
2014,12,2.8564697265625227,-30.074011230468727,70.55450439453125
2015,1,1.1993652343750227,-34.94925537109373,83.53357696533203
2015,2,4.689080810546898,-33.79569091796873,54.41157531738281
2015,3,12.991540527343773,-27.165624999999977,53.81535720825195
2015,4,22.473474121093773,-9.932104492187477,63.39543533325195
2015,5,28.979913330078148,-4.534979248046852,64.24869537353516
2015,6,30.391381835937523,0.5554138183593977,91.75811767578125
2015,7,30.734704589843773,5.217065429687523,74.0907974243164
2015,8,31.549523925781273,3.7476135253906477,78.85669708251953
2015,9,26.913842773437523,-1.4953979492187273,76.30455780029297
2015,10,21.773095703125023,-7.061865234374977,95.6708755493164
2015,11,11.250482177734398,-18.333715820312477,94.15373992919922
2015,12,3.4393859863281477,-27.809576416015602,86.38700103759766
2016,1,2.6245361328125227,-35.13695373535154,83.4737548828125
2016,2,2.8229003906250227,-34.26260986328123,59.2664680480957
2016,3,10.032800292968773,-30.041967773437477,73.50200653076172
2016,4,21.161218261718773,-14.947729492187477,57.202823638916016
2016,5,28.244439697265648,-5.279638671874977,73.8326416015625
2016,6,30.098413085937523,0.41808471679689774,90.53487396240234
2016,7,31.088708496093773,4.821832275390648,69.76104736328125
2016,8,29.660485839843773,3.9581848144531477,75.52384185791016
2016,9,26.845178222656273,-1.2695678710937273,88.3477554321289
2016,10,22.030969238281273,-6.620886230468727,98.83454132080078
2016,11,12.520013427734398,-16.162359619140602,80.84408569335938
2016,12,4.620446777343773,-29.015020751953102,83.152099609375
2017,1,1.7547851562500227,-35.36278381347654,73.59104919433594
2017,2,4.708917236328148,-34.17868652343748,53.39426803588867
