Year,Month,Variable,eco1
2008,12,PAR,188.693866368588
2009,1,PAR,237.82388115387903
2009,2,PAR,437.1719750570863
2009,3,PAR,532.7178510692573
2009,4,PAR,1022.3949956873988
2009,5,PAR,996.4747438146028
2009,6,PAR,961.7421068350624
2009,7,PAR,908.8079119272196
2009,8,PAR,865.0511693397216
2009,9,PAR,661.5270532906903
2009,10,PAR,380.32213573058925
2009,11,PAR,247.56555865647556
2009,12,PAR,189.1086893553852
2010,1,PAR,236.18207667791864
2010,2,PAR,447.373938473584
2010,3,PAR,608.4809652864465
2010,4,PAR,867.3360457709772
2010,5,PAR,920.6082413740298
2010,6,PAR,999.1931557860084
2010,7,PAR,907.5811093316076
2010,8,PAR,930.8041715441892
2010,9,PAR,611.0662742855441
2010,10,PAR,349.12981322777625
2010,11,PAR,244.4802677478904
2010,12,PAR,191.27975090597147
2011,1,PAR,233.30593975175657
2011,2,PAR,417.8529839231284
2011,3,PAR,633.7678974725335
2011,4,PAR,840.6783914473465
2011,5,PAR,919.5430204104114
2011,6,PAR,995.9426419044154
2011,7,PAR,980.3127864004236
2011,8,PAR,748.5425048921443
2011,9,PAR,553.2927499099653
2011,10,PAR,385.2435311592442
2011,11,PAR,228.2520279168421
2011,12,PAR,186.98436285048223
2012,1,PAR,249.13811491087412
2012,2,PAR,377.6306143820442
2012,3,PAR,700.0281053213332
2012,4,PAR,749.8304395993937
2012,5,PAR,838.8037842434605
2012,6,PAR,889.4909565948029
2012,7,PAR,1038.2289895424065
2012,8,PAR,939.5074982191804
2012,9,PAR,656.5336102311962
2012,10,PAR,373.2475994147903
2012,11,PAR,236.79559326049892
2012,12,PAR,186.35050649572432
2013,1,PAR,253.07963562344293
2013,2,PAR,413.4692418309231
2013,3,PAR,605.0330066100825
2013,4,PAR,830.4174704573967
2013,5,PAR,784.1252975138478
2013,6,PAR,1035.142776417358
2013,7,PAR,935.7373118863542
2013,8,PAR,847.3954411243257
2013,9,PAR,631.5261036379749
2013,10,PAR,374.4055891832968
2013,11,PAR,265.5188456804391
2013,12,PAR,193.6224608011843
2014,1,PAR,257.09899988873093
2014,2,PAR,403.55806436917214
2014,3,PAR,657.6732209311707
2014,4,PAR,873.8226391981809
2014,5,PAR,913.0462708022844
2014,6,PAR,850.053672875819
2014,7,PAR,1049.9760838222794
2014,8,PAR,920.335306902134
2014,9,PAR,645.7173629049456
2014,10,PAR,339.0023926185385
2014,11,PAR,236.4950380701665
2014,12,PAR,210.50640819759727
1950,1,Tmax,-5.373327636718727
1950,2,Tmax,-8.705023193359352
1950,3,Tmax,-2.0221923828124773
1950,4,Tmax,3.8205200195312727
1950,5,Tmax,13.236016845703148
1950,6,Tmax,16.541253662109398
1950,7,Tmax,21.959771728515648
1950,8,Tmax,20.371057128906276
1950,9,Tmax,14.652673339843773
1950,10,Tmax,8.345544433593773
1950,11,Tmax,-1.2831787109374773
1950,12,Tmax,-7.578833007812477
1951,1,Tmax,-8.945654296874977
1951,2,Tmax,-7.754400634765602
1951,3,Tmax,-4.484960937499977
1951,4,Tmax,3.533990478515648
1951,5,Tmax,10.346246337890648
1951,6,Tmax,17.471032714843773
1951,7,Tmax,21.307641601562523
1951,8,Tmax,18.747705078125023
1951,9,Tmax,18.8364196777344
1951,10,Tmax,6.549676513671898
1951,11,Tmax,0.4019714355468977
1951,12,Tmax,-5.707342529296852
1952,1,Tmax,-10.269842529296852
1952,2,Tmax,-10.790228271484352
1952,3,Tmax,0.7633911132812727
1952,4,Tmax,6.191766357421898
1952,5,Tmax,16.381127929687523
1952,6,Tmax,17.398919677734398
1952,7,Tmax,25.014794921875023
1952,8,Tmax,18.730859375000023
1952,9,Tmax,15.685906982421898
1952,10,Tmax,6.881829833984398
1952,11,Tmax,0.6833435058593977
1952,12,Tmax,-4.320410156249977
1953,1,Tmax,-9.053778076171852
1953,2,Tmax,-8.458990478515602
1953,3,Tmax,3.341119384765648
1953,4,Tmax,6.044519042968773
1953,5,Tmax,9.144464111328148
1953,6,Tmax,15.769708251953148
1953,7,Tmax,24.814874267578148
1953,8,Tmax,21.9333435058594
1953,9,Tmax,14.652429199218773
1953,10,Tmax,9.765496826171898
1953,11,Tmax,2.2575317382812727
1953,12,Tmax,-5.341467285156227
1954,1,Tmax,-5.639929199218727
1954,2,Tmax,-10.547003173828102
1954,3,Tmax,-2.7213806152343523
1954,4,Tmax,4.768060302734398
1954,5,Tmax,10.813012695312525
1954,6,Tmax,16.316979980468773
1954,7,Tmax,21.618493652343773
1954,8,Tmax,20.078942871093773
1954,9,Tmax,13.759881591796898
1954,10,Tmax,9.234582519531273
1954,11,Tmax,-0.1595825195312272
1954,12,Tmax,-7.454077148437477
1955,1,Tmax,-8.293737792968727
1955,2,Tmax,-10.254858398437475
1955,3,Tmax,-0.2188171386718522
1955,4,Tmax,4.402917480468773
1955,5,Tmax,9.289605712890648
1955,6,Tmax,15.097436523437525
1955,7,Tmax,22.360772705078148
1955,8,Tmax,19.397271728515648
1955,9,Tmax,17.924676513671898
1955,10,Tmax,7.973352050781273
1955,11,Tmax,-0.2410644531249772
1955,12,Tmax,-7.135717773437477
1956,1,Tmax,-7.849432373046852
1956,2,Tmax,-5.429266357421852
1956,3,Tmax,-1.3978942871093525
1956,4,Tmax,6.716119384765648
1956,5,Tmax,11.211877441406273
1956,6,Tmax,17.635827636718773
1956,7,Tmax,20.900079345703148
1956,8,Tmax,21.042413330078148
1956,9,Tmax,14.012445068359398
1956,10,Tmax,8.422326660156273
1956,11,Tmax,-1.7946533203124773
1956,12,Tmax,-4.447973632812477
1957,1,Tmax,-10.226538085937475
1957,2,Tmax,-2.2728942871093523
1957,3,Tmax,1.0786987304687727
1957,4,Tmax,3.7603393554687727
1957,5,Tmax,7.778833007812523
1957,6,Tmax,17.510125732421898
1957,7,Tmax,21.377618408203148
1957,8,Tmax,19.125054931640648
1957,9,Tmax,14.973840332031273
1957,10,Tmax,7.388848876953148
1957,11,Tmax,0.3120666503906477
1957,12,Tmax,-7.913580322265602
1958,1,Tmax,-6.345220947265602
1958,2,Tmax,-11.189337158203102
1958,3,Tmax,-7.701483154296852
1958,4,Tmax,2.837579345703148
1958,5,Tmax,11.524865722656273
1958,6,Tmax,17.626672363281273
1958,7,Tmax,20.2455993652344
1958,8,Tmax,18.005181884765648
1958,9,Tmax,16.717980957031273
1958,10,Tmax,7.825891113281273
1958,11,Tmax,1.0087219238281475
1958,12,Tmax,-6.340765380859352
1959,1,Tmax,-6.645330810546852
1959,2,Tmax,-7.661932373046852
1959,3,Tmax,0.2498107910156477
1959,4,Tmax,1.0101257324218975
1959,5,Tmax,11.721032714843773
1959,6,Tmax,20.418572998046898
1959,7,Tmax,20.902215576171898
1959,8,Tmax,20.382531738281276
1959,9,Tmax,15.687066650390648
1959,10,Tmax,4.665551757812523
1959,11,Tmax,0.7987304687500227
1959,12,Tmax,-7.104345703124977
1960,1,Tmax,-9.698217773437475
1960,2,Tmax,-3.4917663574218523
1960,3,Tmax,0.8876892089843977
1960,4,Tmax,5.330102539062523
1960,5,Tmax,10.069818115234398
1960,6,Tmax,17.214471435546898
1960,7,Tmax,19.982019042968773
1960,8,Tmax,20.144708251953148
1960,9,Tmax,17.762933349609398
1960,10,Tmax,8.482263183593773
1960,11,Tmax,0.2139831542968977
1960,12,Tmax,-4.085852050781227
1961,1,Tmax,-3.0530761718749773
1961,2,Tmax,-6.354345703124977
1961,3,Tmax,0.8036437988281477
1961,4,Tmax,6.060906982421898
1961,5,Tmax,11.080560302734398
1961,6,Tmax,16.293115234375023
1961,7,Tmax,25.1259704589844
1961,8,Tmax,19.062310791015648
1961,9,Tmax,14.970544433593773
1961,10,Tmax,2.8708435058593977
1961,11,Tmax,1.5871215820312727
1961,12,Tmax,-4.650946044921852
1962,1,Tmax,-7.043737792968727
1962,2,Tmax,-4.950567626953102
1962,3,Tmax,-7.008856201171852
1962,4,Tmax,4.440576171875023
1962,5,Tmax,12.310662841796898
1962,6,Tmax,17.099053955078148
1962,7,Tmax,22.567926025390648
1962,8,Tmax,20.182153320312523
1962,9,Tmax,13.357965087890648
1962,10,Tmax,7.134881591796898
1962,11,Tmax,0.2835327148437727
1962,12,Tmax,-10.662634277343727
1963,1,Tmax,-6.546759033203102
1963,2,Tmax,-7.989874267578102
1963,3,Tmax,-1.2717346191406025
1963,4,Tmax,-0.1570190429687272
1963,5,Tmax,10.537500000000025
1963,6,Tmax,17.395654296875023
1963,7,Tmax,21.877618408203148
1963,8,Tmax,22.431695556640648
1963,9,Tmax,14.332452392578148
1963,10,Tmax,7.067224121093773
1963,11,Tmax,0.6816955566406477
1963,12,Tmax,-3.5320190429687277
1964,1,Tmax,-7.560827636718727
1964,2,Tmax,-9.970465087890602
