year,month,day,Variable,eco1
1950,4,7,PAR,254.21701049804688
1950,4,8,PAR,347.66827392578125
1950,4,9,PAR,536.8128051757812
1950,4,10,PAR,566.80126953125
1950,4,11,PAR,273.2223815917969
1950,4,12,PAR,454.96112060546875
1950,4,13,PAR,348.52435302734375
1950,4,14,PAR,205.58819580078125
1950,4,15,PAR,317.62811279296875
1950,4,16,PAR,328.0306396484375
1950,4,17,PAR,64.27385711669922
1950,4,18,PAR,26.711841583251953
1950,4,19,PAR,509.2038879394531
1950,4,20,PAR,547.4150390625
1950,4,21,PAR,602.7631225585938
1950,4,22,PAR,178.48382568359375
1950,4,23,PAR,462.5061950683594
1950,4,24,PAR,276.5276794433594
1950,4,25,PAR,651.71435546875
1950,4,26,PAR,617.8081665039062
1950,4,27,PAR,621.8019409179688
1950,4,28,PAR,653.4208374023438
1950,4,29,PAR,641.0275268554688
1950,4,30,PAR,651.5855712890625
1950,5,1,PAR,390.4784240722656
1950,5,2,PAR,69.36318969726562
1950,5,3,PAR,299.8869934082031
1950,5,4,PAR,678.7249145507812
1950,5,5,PAR,607.3948974609375
1950,5,6,PAR,698.6089477539062
1950,5,7,PAR,689.509033203125
1950,5,8,PAR,644.6273803710938
1950,5,9,PAR,587.2289428710938
1950,5,10,PAR,692.6795654296875
1950,5,11,PAR,613.0831298828125
1950,5,12,PAR,545.3274536132812
1950,5,13,PAR,65.0506591796875
1950,5,14,PAR,53.28517532348633
1950,5,15,PAR,151.14382934570312
1950,5,16,PAR,655.0001220703125
1950,5,17,PAR,714.8643798828125
1950,5,18,PAR,701.6400146484375
1950,5,19,PAR,144.1800537109375
1950,5,20,PAR,70.72284698486328
1950,5,21,PAR,73.7587890625
1950,5,22,PAR,235.75733947753906
1950,5,23,PAR,737.6009521484375
1950,5,24,PAR,742.1019287109375
1950,5,25,PAR,621.4253540039062
1950,5,26,PAR,480.68548583984375
1950,5,27,PAR,470.376953125
1950,5,28,PAR,551.2880859375
1950,5,29,PAR,711.742431640625
1950,5,30,PAR,656.3223266601562
1950,5,31,PAR,664.7587890625
1950,6,1,PAR,575.5593872070312
1950,6,2,PAR,711.5762329101562
1950,6,3,PAR,309.9480895996094
1950,6,4,PAR,374.13720703125
1950,6,5,PAR,245.19866943359375
1950,6,6,PAR,84.22100067138672
1950,6,7,PAR,600.847900390625
1950,6,8,PAR,627.146240234375
1950,6,9,PAR,524.1173095703125
1950,6,10,PAR,659.6806030273438
1950,6,11,PAR,694.8958740234375
1950,6,12,PAR,650.6587524414062
1950,6,13,PAR,252.23707580566406
1950,6,14,PAR,725.3477172851562
1950,6,15,PAR,647.0888061523438
1950,6,16,PAR,711.6542358398438
1950,6,17,PAR,639.8646850585938
