Year,Month,Variable,eco1
2012,7,CO2,339.5769783606896
2012,8,CO2,342.72429422231824
2012,9,CO2,346.814223812788
2012,10,CO2,349.77220834585336
2012,11,CO2,351.4233886327499
2012,12,CO2,352.0114260160006
2013,1,CO2,351.56706953782304
2013,2,CO2,352.007202344063
2013,3,CO2,350.9956563705053
2013,4,CO2,348.18658552903395
2013,5,CO2,344.09215295253654
2013,6,CO2,340.1376001993815
2013,7,CO2,339.5769783606896
2013,8,CO2,342.72429422231824
2013,9,CO2,346.814223812788
2013,10,CO2,349.77220834585336
2013,11,CO2,351.4233886327499
2013,12,CO2,352.0114260160006
2014,1,CO2,351.56706953782304
2014,2,CO2,352.007202344063
2014,3,CO2,350.9956563705053
2014,4,CO2,348.18658552903395
2014,5,CO2,344.09215295253654
2014,6,CO2,340.1376001993815
2014,7,CO2,339.5769783606896
2014,8,CO2,342.72429422231824
2014,9,CO2,346.814223812788
2014,10,CO2,349.77220834585336
2014,11,CO2,351.4233886327499
2014,12,CO2,352.0114260160006
1950,1,PAR,244.610065993255
1950,2,PAR,407.4886174985403
1950,3,PAR,645.0354095284299
1950,4,PAR,855.8979722474826
1950,5,PAR,956.658037084818
1950,6,PAR,997.7942646373551
1950,7,PAR,997.7786953835861
1950,8,PAR,862.5692780577073
1950,9,PAR,631.5694744931035
1950,10,PAR,370.08552466270027
1950,11,PAR,236.36103922873775
1950,12,PAR,193.6771259877535
1951,1,PAR,244.610065993255
1951,2,PAR,407.4886174985403
1951,3,PAR,645.0354095284299
1951,4,PAR,855.8979722474826
1951,5,PAR,956.658037084818
1951,6,PAR,997.7942646373551
1951,7,PAR,997.7786953835861
1951,8,PAR,862.5692780577073
1951,9,PAR,631.5694744931035
1951,10,PAR,370.08552466270027
1951,11,PAR,236.36103922873775
1951,12,PAR,193.6771259877535
1952,1,PAR,244.610065993255
1952,2,PAR,407.4886174985403
1952,3,PAR,645.0354095284299
1952,4,PAR,855.8979722474826
1952,5,PAR,956.658037084818
1952,6,PAR,997.7942646373551
1952,7,PAR,997.7786953835861
1952,8,PAR,862.5692780577073
1952,9,PAR,631.5694744931035
1952,10,PAR,370.08552466270027
1952,11,PAR,236.36103922873775
1952,12,PAR,193.6771259877535
1953,1,PAR,244.610065993255
1953,2,PAR,407.4886174985403
1953,3,PAR,645.0354095284299
1953,4,PAR,855.8979722474826
1953,5,PAR,956.658037084818
1953,6,PAR,997.7942646373551
1953,7,PAR,997.7786953835861
1953,8,PAR,862.5692780577073
1953,9,PAR,631.5694744931035
1953,10,PAR,370.08552466270027
1953,11,PAR,236.36103922873775
1953,12,PAR,193.6771259877535
1954,1,PAR,244.610065993255
1954,2,PAR,407.4886174985403
1954,3,PAR,645.0354095284299
1954,4,PAR,855.8979722474826
1954,5,PAR,956.658037084818
1954,6,PAR,997.7942646373551
1954,7,PAR,997.7786953835861
1954,8,PAR,862.5692780577073
1954,9,PAR,631.5694744931035
1954,10,PAR,370.08552466270027
1954,11,PAR,236.36103922873775
1954,12,PAR,193.6771259877535
1955,1,PAR,244.610065993255
1955,2,PAR,407.4886174985403
1955,3,PAR,645.0354095284299
1955,4,PAR,855.8979722474826
1955,5,PAR,956.658037084818
1955,6,PAR,997.7942646373551
1955,7,PAR,997.7786953835861
1955,8,PAR,862.5692780577073
1955,9,PAR,631.5694744931035
1955,10,PAR,370.08552466270027
1955,11,PAR,236.36103922873775
1955,12,PAR,193.6771259877535
1956,1,PAR,244.610065993255
1956,2,PAR,407.4886174985403
1956,3,PAR,645.0354095284299
1956,4,PAR,855.8979722474826
1956,5,PAR,956.658037084818
1956,6,PAR,997.7942646373551
1956,7,PAR,997.7786953835861
1956,8,PAR,862.5692780577073
1956,9,PAR,631.5694744931035
1956,10,PAR,370.08552466270027
1956,11,PAR,236.36103922873775
1956,12,PAR,193.6771259877535
1957,1,PAR,244.610065993255
1957,2,PAR,407.4886174985403
1957,3,PAR,645.0354095284299
1957,4,PAR,855.8979722474826
1957,5,PAR,956.658037084818
1957,6,PAR,997.7942646373551
1957,7,PAR,997.7786953835861
1957,8,PAR,862.5692780577073
1957,9,PAR,631.5694744931035
1957,10,PAR,370.08552466270027
1957,11,PAR,236.36103922873775
1957,12,PAR,193.6771259877535
1958,1,PAR,244.610065993255
1958,2,PAR,407.4886174985403
1958,3,PAR,645.0354095284299
1958,4,PAR,855.8979722474826
1958,5,PAR,956.658037084818
1958,6,PAR,997.7942646373551
1958,7,PAR,997.7786953835861
1958,8,PAR,862.5692780577073
1958,9,PAR,631.5694744931035
1958,10,PAR,370.08552466270027
1958,11,PAR,236.36103922873775
1958,12,PAR,193.6771259877535
1959,1,PAR,244.610065993255
1959,2,PAR,407.4886174985403
1959,3,PAR,645.0354095284299
1959,4,PAR,855.8979722474826
1959,5,PAR,956.658037084818
1959,6,PAR,997.7942646373551
1959,7,PAR,997.7786953835861
1959,8,PAR,862.5692780577073
1959,9,PAR,631.5694744931035
1959,10,PAR,370.08552466270027
1959,11,PAR,236.36103922873775
1959,12,PAR,193.6771259877535
1960,1,PAR,244.610065993255
1960,2,PAR,407.4886174985403
1960,3,PAR,645.0354095284299
1960,4,PAR,855.8979722474826
1960,5,PAR,956.658037084818
1960,6,PAR,997.7942646373551
1960,7,PAR,997.7786953835861
1960,8,PAR,862.5692780577073
1960,9,PAR,631.5694744931035
1960,10,PAR,370.08552466270027
1960,11,PAR,236.36103922873775
1960,12,PAR,193.6771259877535
1961,1,PAR,244.610065993255
1961,2,PAR,407.4886174985403
1961,3,PAR,645.0354095284299
1961,4,PAR,855.8979722474826
1961,5,PAR,956.658037084818
1961,6,PAR,997.7942646373551
1961,7,PAR,997.7786953835861
1961,8,PAR,862.5692780577073
1961,9,PAR,631.5694744931035
1961,10,PAR,370.08552466270027
1961,11,PAR,236.36103922873775
1961,12,PAR,193.6771259877535
1962,1,PAR,244.610065993255
1962,2,PAR,407.4886174985403
1962,3,PAR,645.0354095284299
1962,4,PAR,855.8979722474826
1962,5,PAR,956.658037084818
1962,6,PAR,997.7942646373551
1962,7,PAR,997.7786953835861
1962,8,PAR,862.5692780577073
1962,9,PAR,631.5694744931035
1962,10,PAR,370.08552466270027
1962,11,PAR,236.36103922873775
1962,12,PAR,193.6771259877535
1963,1,PAR,244.610065993255
1963,2,PAR,407.4886174985403
1963,3,PAR,645.0354095284299
1963,4,PAR,855.8979722474826
1963,5,PAR,956.658037084818
1963,6,PAR,997.7942646373551
1963,7,PAR,997.7786953835861
1963,8,PAR,862.5692780577073
1963,9,PAR,631.5694744931035
1963,10,PAR,370.08552466270027
1963,11,PAR,236.36103922873775
1963,12,PAR,193.6771259877535
1964,1,PAR,244.610065993255
1964,2,PAR,407.4886174985403
