Year,Month,Variable,eco1
1928,7,Tmax,22.0982614824849
1928,8,Tmax,20.22086142263107
1928,9,Tmax,15.09889841387351
1928,10,Tmax,7.094706676852342
1928,11,Tmax,-0.08903966103828376
1928,12,Tmax,-6.214716954385058
1929,1,Tmax,-8.56369924237649
1929,2,Tmax,-7.716896500125985
1929,3,Tmax,-2.5314648043724572
1929,4,Tmax,3.7787660660282487
1929,5,Tmax,11.064961882560507
1929,6,Tmax,17.395305805821597
1929,7,Tmax,22.0982614824849
1929,8,Tmax,20.22086142263107
1929,9,Tmax,15.09889841387351
1929,10,Tmax,7.094706676852342
1929,11,Tmax,-0.08903966103828376
1929,12,Tmax,-6.214716954385058
1930,1,Tmax,-8.56369924237649
1930,2,Tmax,-7.716896500125985
1930,3,Tmax,-2.5314648043724572
1930,4,Tmax,3.7787660660282487
1930,5,Tmax,11.064961882560507
1930,6,Tmax,17.395305805821597
1930,7,Tmax,22.0982614824849
1930,8,Tmax,20.22086142263107
1930,9,Tmax,15.09889841387351
1930,10,Tmax,7.094706676852342
1930,11,Tmax,-0.08903966103828376
1930,12,Tmax,-6.214716954385058
1931,1,Tmax,-8.56369924237649
1931,2,Tmax,-7.716896500125985
1931,3,Tmax,-2.5314648043724572
1931,4,Tmax,3.7787660660282487
1931,5,Tmax,11.064961882560507
1931,6,Tmax,17.395305805821597
1931,7,Tmax,22.0982614824849
1931,8,Tmax,20.22086142263107
1931,9,Tmax,15.09889841387351
1931,10,Tmax,7.094706676852342
1931,11,Tmax,-0.08903966103828376
1931,12,Tmax,-6.214716954385058
1932,1,Tmax,-8.56369924237649
1932,2,Tmax,-7.716896500125985
1932,3,Tmax,-2.5314648043724572
1932,4,Tmax,3.7787660660282487
1932,5,Tmax,11.064961882560507
1932,6,Tmax,17.395305805821597
1932,7,Tmax,22.0982614824849
1932,8,Tmax,20.22086142263107
1932,9,Tmax,15.09889841387351
1932,10,Tmax,7.094706676852342
1932,11,Tmax,-0.08903966103828376
1932,12,Tmax,-6.214716954385058
1933,1,Tmax,-8.56369924237649
1933,2,Tmax,-7.716896500125985
1933,3,Tmax,-2.5314648043724572
1933,4,Tmax,3.7787660660282487
1933,5,Tmax,11.064961882560507
1933,6,Tmax,17.395305805821597
1933,7,Tmax,22.0982614824849
1933,8,Tmax,20.22086142263107
1933,9,Tmax,15.09889841387351
1933,10,Tmax,7.094706676852342
1933,11,Tmax,-0.08903966103828376
1933,12,Tmax,-6.214716954385058
1934,1,Tmax,-8.56369924237649
1934,2,Tmax,-7.716896500125985
1934,3,Tmax,-2.5314648043724572
1934,4,Tmax,3.7787660660282487
1934,5,Tmax,11.064961882560507
1934,6,Tmax,17.395305805821597
1934,7,Tmax,22.0982614824849
1934,8,Tmax,20.22086142263107
1934,9,Tmax,15.09889841387351
1934,10,Tmax,7.094706676852342
1934,11,Tmax,-0.08903966103828376
1934,12,Tmax,-6.214716954385058
1935,1,Tmax,-8.56369924237649
1935,2,Tmax,-7.716896500125985
1935,3,Tmax,-2.5314648043724572
1935,4,Tmax,3.7787660660282487
1935,5,Tmax,11.064961882560507
1935,6,Tmax,17.395305805821597
1935,7,Tmax,22.0982614824849
1935,8,Tmax,20.22086142263107
1935,9,Tmax,15.09889841387351
1935,10,Tmax,7.094706676852342
1935,11,Tmax,-0.08903966103828376
